,REF_DATE,GEO,Sex,Age group,UOM,VALUE
332,2014-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,193259.0
333,2014-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2507414.0
334,2014-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,370234.0
335,2014-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18614.0
336,2015-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,209191.0
337,2015-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,408017.0
338,2015-01-01,"Québec, Quebec",Both sexes,All ages,Persons,799046.0
339,2015-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,210873.0
340,2015-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,155679.0
341,2015-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,4109712.0
342,2015-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,385258.0
343,2015-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,6045240.0
344,2015-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,761279.0
345,2015-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,410971.0
346,2015-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,530170.0
347,2015-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,153679.0
348,2015-01-01,"London, Ontario",Both sexes,All ages,Persons,500624.0
349,2015-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,336222.0
350,2015-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,168602.0
351,2015-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,785860.0
352,2015-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,239403.0
353,2015-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,299349.0
354,2015-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1414010.0
355,2015-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1338092.0
356,2015-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,198305.0
357,2015-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2544484.0
358,2015-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,376036.0
359,2015-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,18882.0
360,2016-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,211003.0
361,2016-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,414015.0
362,2016-01-01,"Québec, Quebec",Both sexes,All ages,Persons,804875.0
363,2016-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,213344.0
364,2016-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,156813.0
365,2016-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,4140425.0
366,2016-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,391942.0
367,2016-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,6125013.0
368,2016-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,768982.0
369,2016-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,416384.0
370,2016-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,542034.0
371,2016-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,157088.0
372,2016-01-01,"London, Ontario",Both sexes,All ages,Persons,509009.0
373,2016-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,337194.0
374,2016-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,169136.0
