,REF_DATE,GEO,Sex,Age group,UOM,VALUE
93,2004-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2134020.0
94,2004-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,332132.0
95,2004-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17086.0
96,2005-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,181720.0
97,2005-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,381940.0
98,2005-01-01,"Québec, Quebec",Both sexes,All ages,Persons,723340.0
99,2005-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,191580.0
100,2005-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,144645.0
101,2005-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3754003.0
102,2005-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,337654.0
103,2005-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5241407.0
104,2005-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,717717.0
105,2005-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,401750.0
106,2005-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,479252.0
107,2005-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,137200.0
108,2005-01-01,"London, Ontario",Both sexes,All ages,Persons,471563.0
109,2005-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,335398.0
110,2005-01-01,"Greater Sudbury, Ontario",Both sexes,All ages,Persons,165278.0
111,2005-01-01,"Winnipeg, Manitoba",Both sexes,All ages,Persons,712268.0
112,2005-01-01,"Regina, Saskatchewan",Both sexes,All ages,Persons,199943.0
113,2005-01-01,"Saskatoon, Saskatchewan",Both sexes,All ages,Persons,239696.0
114,2005-01-01,"Calgary, Alberta",Both sexes,All ages,Persons,1085764.0
115,2005-01-01,"Edmonton, Alberta",Both sexes,All ages,Persons,1042421.0
116,2005-01-01,"Kelowna, British Columbia",Both sexes,All ages,Persons,163765.0
117,2005-01-01,"Vancouver, British Columbia",Both sexes,All ages,Persons,2159646.0
118,2005-01-01,"Victoria, British Columbia",Both sexes,All ages,Persons,335240.0
119,2005-01-01,"Nelson (CA), British Columbia",Both sexes,All ages,Persons,17083.0
120,2006-01-01,"St. John's, Newfoundland and Labrador",Both sexes,All ages,Persons,183847.0
121,2006-01-01,"Halifax, Nova Scotia",Both sexes,All ages,Persons,384658.0
122,2006-01-01,"Québec, Quebec",Both sexes,All ages,Persons,729611.0
123,2006-01-01,"Sherbrooke, Quebec",Both sexes,All ages,Persons,193295.0
124,2006-01-01,"Trois-Rivières, Quebec",Both sexes,All ages,Persons,145685.0
125,2006-01-01,"Montréal, Quebec",Both sexes,All ages,Persons,3787447.0
126,2006-01-01,"Oshawa, Ontario",Both sexes,All ages,Persons,344313.0
127,2006-01-01,"Toronto, Ontario",Both sexes,All ages,Persons,5334382.0
128,2006-01-01,"Hamilton, Ontario",Both sexes,All ages,Persons,719331.0
129,2006-01-01,"St. Catharines-Niagara, Ontario",Both sexes,All ages,Persons,404032.0
130,2006-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Both sexes,All ages,Persons,488325.0
131,2006-01-01,"Guelph, Ontario",Both sexes,All ages,Persons,139303.0
132,2006-01-01,"London, Ontario",Both sexes,All ages,Persons,475886.0
133,2006-01-01,"Windsor, Ontario",Both sexes,All ages,Persons,336314.0
