,REF_DATE,GEO,New housing price indexes,UOM,VALUE
64,2001-03-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.3
65,2001-03-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",50.6
66,2001-03-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
67,2001-03-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",72.9
68,2001-03-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.7
69,2001-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.5
70,2001-04-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.3
71,2001-04-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.0
72,2001-04-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
73,2001-04-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
74,2001-04-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",60.4
75,2001-04-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
76,2001-04-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",56.3
77,2001-04-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",60.9
78,2001-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",61.7
79,2001-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",66.7
80,2001-04-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
81,2001-04-01,"London, Ontario",Total (house and land),"Index, 201612=100",64.8
82,2001-04-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",92.7
83,2001-04-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",80.9
84,2001-04-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",46.2
85,2001-04-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",38.5
86,2001-04-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",47.4
87,2001-04-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",43.3
88,2001-04-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",50.8
89,2001-04-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
90,2001-04-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",72.9
91,2001-04-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",83.7
92,2001-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",49.6
93,2001-05-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",66.4
94,2001-05-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",59.0
