,REF_DATE,GEO,New housing price indexes,UOM,VALUE
657,2003-05-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
658,2003-05-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.6
659,2003-05-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.0
660,2003-05-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",41.6
661,2003-05-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",49.0
662,2003-05-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",48.1
663,2003-05-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",57.6
664,2003-05-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
665,2003-05-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.0
666,2003-05-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",91.6
667,2003-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",54.3
668,2003-06-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
669,2003-06-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",67.0
670,2003-06-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
671,2003-06-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
672,2003-06-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",68.5
673,2003-06-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
674,2003-06-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",60.9
675,2003-06-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",67.6
676,2003-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",66.5
677,2003-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",71.8
678,2003-06-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
679,2003-06-01,"London, Ontario",Total (house and land),"Index, 201612=100",69.9
680,2003-06-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
681,2003-06-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.6
682,2003-06-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.2
683,2003-06-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",42.0
684,2003-06-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",49.4
685,2003-06-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",48.4
686,2003-06-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",57.7
687,2003-06-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
688,2003-06-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.0
689,2003-06-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",93.1
690,2003-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",54.3
691,2003-07-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
692,2003-07-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",67.0
693,2003-07-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
694,2003-07-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
695,2003-07-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",68.5
696,2003-07-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
697,2003-07-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",61.2
698,2003-07-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",68.3
699,2003-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",66.6
700,2003-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",72.3
701,2003-07-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
702,2003-07-01,"London, Ontario",Total (house and land),"Index, 201612=100",70.0
703,2003-07-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
704,2003-07-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.4
705,2003-07-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.2
706,2003-07-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",42.2
707,2003-07-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",49.4
708,2003-07-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",48.4
709,2003-07-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",57.7
710,2003-07-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
711,2003-07-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.1
712,2003-07-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",94.1
713,2003-08-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",54.5
714,2003-08-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
715,2003-08-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",68.1
716,2003-08-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
717,2003-08-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
718,2003-08-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",69.5
719,2003-08-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
720,2003-08-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",61.6
721,2003-08-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",68.9
722,2003-08-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",67.1
723,2003-08-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",72.5
724,2003-08-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
725,2003-08-01,"London, Ontario",Total (house and land),"Index, 201612=100",70.0
726,2003-08-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
727,2003-08-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.6
728,2003-08-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.2
729,2003-08-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",42.6
730,2003-08-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",49.8
731,2003-08-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",48.5
732,2003-08-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",57.7
733,2003-08-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
734,2003-08-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.0
735,2003-08-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",95.4
736,2003-09-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.3
737,2003-09-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
738,2003-09-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",69.0
739,2003-09-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
740,2003-09-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
741,2003-09-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",70.0
742,2003-09-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
743,2003-09-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",61.8
744,2003-09-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",68.7
745,2003-09-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",67.1
746,2003-09-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",72.6
747,2003-09-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
748,2003-09-01,"London, Ontario",Total (house and land),"Index, 201612=100",70.1
749,2003-09-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
750,2003-09-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.7
751,2003-09-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.5
752,2003-09-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",42.8
753,2003-09-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
754,2003-09-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",48.8
755,2003-09-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",58.7
756,2003-09-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
757,2003-09-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.1
758,2003-09-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",96.0
759,2003-10-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.3
760,2003-10-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
761,2003-10-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",69.1
762,2003-10-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
763,2003-10-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
764,2003-10-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",70.5
765,2003-10-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
766,2003-10-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",62.0
767,2003-10-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",69.0
768,2003-10-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",67.4
769,2003-10-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",72.6
770,2003-10-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
771,2003-10-01,"London, Ontario",Total (house and land),"Index, 201612=100",70.1
772,2003-10-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
773,2003-10-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.9
774,2003-10-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.5
775,2003-10-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",43.1
776,2003-10-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
777,2003-10-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",49.2
778,2003-10-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.2
779,2003-10-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
780,2003-10-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.5
781,2003-10-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",97.0
782,2003-11-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.3
783,2003-11-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",72.3
784,2003-11-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",70.0
785,2003-11-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
786,2003-11-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
787,2003-11-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",70.9
788,2003-11-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
789,2003-11-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",62.6
790,2003-11-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",69.3
791,2003-11-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",68.4
792,2003-11-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",72.8
793,2003-11-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
794,2003-11-01,"London, Ontario",Total (house and land),"Index, 201612=100",70.8
795,2003-11-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
796,2003-11-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.9
797,2003-11-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",49.8
798,2003-11-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",43.1
799,2003-11-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
800,2003-11-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",49.5
801,2003-11-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.4
802,2003-11-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
803,2003-11-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.8
804,2003-11-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",97.6
805,2003-12-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.5
806,2003-12-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.2
807,2003-12-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",70.0
808,2003-12-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
809,2003-12-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
810,2003-12-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",71.1
811,2003-12-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
812,2003-12-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",62.7
813,2003-12-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",69.2
814,2003-12-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",68.4
815,2003-12-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",73.6
816,2003-12-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
817,2003-12-01,"London, Ontario",Total (house and land),"Index, 201612=100",71.5
818,2003-12-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
819,2003-12-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.9
820,2003-12-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",50.2
821,2003-12-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",43.4
822,2003-12-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
823,2003-12-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.0
824,2003-12-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.4
825,2003-12-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
826,2003-12-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",78.9
827,2003-12-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",98.1
828,2004-01-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.4
829,2004-01-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.2
830,2004-01-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",70.4
831,2004-01-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
832,2004-01-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
833,2004-01-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",71.3
834,2004-01-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
835,2004-01-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",62.8
836,2004-01-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",69.4
837,2004-01-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",68.6
838,2004-01-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",73.8
839,2004-01-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
840,2004-01-01,"London, Ontario",Total (house and land),"Index, 201612=100",71.3
841,2004-01-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
842,2004-01-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",82.9
843,2004-01-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",50.2
844,2004-01-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",43.4
845,2004-01-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
846,2004-01-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.1
847,2004-01-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.5
848,2004-01-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
849,2004-01-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",80.1
850,2004-01-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",98.6
851,2004-02-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",55.7
852,2004-02-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.2
853,2004-02-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",70.5
854,2004-02-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
855,2004-02-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
856,2004-02-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",71.7
857,2004-02-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
858,2004-02-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",63.1
859,2004-02-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",70.0
860,2004-02-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",68.8
861,2004-02-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",73.8
862,2004-02-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
863,2004-02-01,"London, Ontario",Total (house and land),"Index, 201612=100",72.6
864,2004-02-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
865,2004-02-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",84.1
866,2004-02-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",50.2
867,2004-02-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",43.9
868,2004-02-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",50.5
869,2004-02-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.2
870,2004-02-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.4
871,2004-02-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
872,2004-02-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",80.2
873,2004-02-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",98.7
874,2004-03-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",56.0
875,2004-03-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.2
876,2004-03-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",70.8
877,2004-03-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
878,2004-03-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
879,2004-03-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",72.1
880,2004-03-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
881,2004-03-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",63.2
882,2004-03-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",69.6
883,2004-03-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",68.6
884,2004-03-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",73.7
885,2004-03-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
886,2004-03-01,"London, Ontario",Total (house and land),"Index, 201612=100",72.8
887,2004-03-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
888,2004-03-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",84.1
889,2004-03-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",50.9
890,2004-03-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",44.1
891,2004-03-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",51.1
892,2004-03-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.5
893,2004-03-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.5
894,2004-03-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
895,2004-03-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",80.6
896,2004-03-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",99.7
897,2004-04-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",56.2
898,2004-04-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.2
899,2004-04-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",71.3
900,2004-04-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
901,2004-04-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
902,2004-04-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",72.8
903,2004-04-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
904,2004-04-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",63.9
905,2004-04-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",70.2
906,2004-04-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",69.4
907,2004-04-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",74.8
908,2004-04-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
909,2004-04-01,"London, Ontario",Total (house and land),"Index, 201612=100",72.8
910,2004-04-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
911,2004-04-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",83.7
912,2004-04-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",51.1
913,2004-04-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",44.6
914,2004-04-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",51.1
915,2004-04-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.7
916,2004-04-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",59.8
917,2004-04-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
918,2004-04-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",80.9
919,2004-04-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",100.8
920,2004-05-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",56.8
921,2004-05-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.6
922,2004-05-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",71.8
923,2004-05-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
924,2004-05-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
925,2004-05-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",73.2
926,2004-05-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
927,2004-05-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",64.6
928,2004-05-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",71.3
929,2004-05-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",69.1
930,2004-05-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",74.8
931,2004-05-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
932,2004-05-01,"London, Ontario",Total (house and land),"Index, 201612=100",72.8
933,2004-05-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
934,2004-05-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",84.4
935,2004-05-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",51.4
936,2004-05-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",45.0
937,2004-05-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",51.1
938,2004-05-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",50.9
939,2004-05-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",60.1
940,2004-05-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
941,2004-05-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",81.6
942,2004-05-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",101.5
943,2004-06-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",57.2
944,2004-06-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.6
945,2004-06-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",71.8
946,2004-06-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
947,2004-06-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
948,2004-06-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",73.3
949,2004-06-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
950,2004-06-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",65.2
951,2004-06-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",71.8
952,2004-06-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",71.1
953,2004-06-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",75.4
954,2004-06-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
955,2004-06-01,"London, Ontario",Total (house and land),"Index, 201612=100",73.1
956,2004-06-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.2
957,2004-06-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",84.2
958,2004-06-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",53.4
959,2004-06-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",45.3
960,2004-06-01,"Saskatoon, Saskatchewan",Total (house and land),"Index, 201612=100",52.1
961,2004-06-01,"Calgary, Alberta",Total (house and land),"Index, 201612=100",51.2
962,2004-06-01,"Edmonton, Alberta",Total (house and land),"Index, 201612=100",60.5
963,2004-06-01,"Kelowna, British Columbia",Total (house and land),"Index, 201612=100",
964,2004-06-01,"Vancouver, British Columbia",Total (house and land),"Index, 201612=100",81.7
965,2004-06-01,"Victoria, British Columbia",Total (house and land),"Index, 201612=100",102.1
966,2004-07-01,"St. John's, Newfoundland and Labrador",Total (house and land),"Index, 201612=100",57.9
967,2004-07-01,"Halifax, Nova Scotia",Total (house and land),"Index, 201612=100",73.6
968,2004-07-01,"Québec, Quebec",Total (house and land),"Index, 201612=100",71.8
969,2004-07-01,"Sherbrooke, Quebec",Total (house and land),"Index, 201612=100",
970,2004-07-01,"Trois-Rivières, Quebec",Total (house and land),"Index, 201612=100",
971,2004-07-01,"Montréal, Quebec",Total (house and land),"Index, 201612=100",73.3
972,2004-07-01,"Oshawa, Ontario",Total (house and land),"Index, 201612=100",
973,2004-07-01,"Toronto, Ontario",Total (house and land),"Index, 201612=100",65.2
974,2004-07-01,"Hamilton, Ontario",Total (house and land),"Index, 201612=100",72.1
975,2004-07-01,"St. Catharines-Niagara, Ontario",Total (house and land),"Index, 201612=100",71.7
976,2004-07-01,"Kitchener-Cambridge-Waterloo, Ontario",Total (house and land),"Index, 201612=100",75.3
977,2004-07-01,"Guelph, Ontario",Total (house and land),"Index, 201612=100",
978,2004-07-01,"London, Ontario",Total (house and land),"Index, 201612=100",73.3
979,2004-07-01,"Windsor, Ontario",Total (house and land),"Index, 201612=100",93.3
980,2004-07-01,"Greater Sudbury, Ontario",Total (house and land),"Index, 201612=100",84.4
981,2004-07-01,"Winnipeg, Manitoba",Total (house and land),"Index, 201612=100",53.4
982,2004-07-01,"Regina, Saskatchewan",Total (house and land),"Index, 201612=100",45.4
