,PDelta,Date,0,2
0,,2001,0,
1,3643.939393939391,2002,0,5146.0
2,3166.6666666666715,2003,0,-6778.0
3,2475.0000000000014,2004,0,-7658.0
4,3958.3333333333285,2005,0,2379.0
5,18616.666666666675,2006,0,7260.0
6,26633.333333333325,2007,0,6608.0
7,1116.6666666666601,2008,0,5030.0
8,-12383.333333333325,2009,0,13088.0
9,-774.9999999999915,2010,0,1710.0
10,899.9999999999915,2011,0,3531.0
11,916.6666666666714,2012,0,8633.0
12,433.3333333333371,2013,0,12148.0
13,108.33333333332007,2014,0,14161.0
14,408.33333333334565,2015,0,-7182.0
15,-216.66666666668277,2016,0,-3944.0
16,-324.99999999998863,2017,0,4249.0
17,-400.0000000000057,2018,0,5020.0
18,-1266.6666666666515,2019,0,6716.0
19,-641.6666666666799,2020,0,1658.0
20,4458.333333333343,2021,0,-9614.0
21,7299.999999999983,2022,0,12828.0
