,PDelta,Date,0,2
0,,2001,0,
1,,2002,0,1121.0
2,,2003,0,1289.0
3,,2004,0,1219.0
4,,2005,0,1922.0
5,,2006,0,2717.0
6,,2007,0,-87.0
7,,2008,0,-342.0
8,,2009,0,-65.0
9,,2010,0,-41.0
10,,2011,0,90.0
11,,2012,0,845.0
12,,2013,0,-29.0
13,,2014,0,146.0
14,,2015,0,-376.0
15,,2016,0,1471.0
16,,2017,0,881.0
17,,2018,0,-69.0
18,,2019,0,2222.0
19,,2020,0,2339.0
20,,2021,0,1965.0
21,,2022,0,4607.0
