,PDelta,Date,0,2
0,,2001,0,
1,1178.0303030302975,2002,0,855.0
2,1741.6666666666742,2003,0,222.0
3,3283.333333333331,2004,0,803.0
4,4441.666666666662,2005,0,-2396.0
5,5383.333333333333,2006,0,-1461.0
6,7375.000000000007,2007,0,-1954.0
7,7091.666666666669,2008,0,-3507.0
8,1949.9999999999886,2009,0,1256.0
9,3750.0,2010,0,1853.0
10,3975.0000000000086,2011,0,3343.0
11,3641.6666666666656,2012,0,4763.0
12,4400.0000000000055,2013,0,1668.0
13,1541.6666666666572,2014,0,3492.0
14,1058.3333333333371,2015,0,573.0
15,1808.333333333323,2016,0,6129.0
16,3108.3333333333485,2017,0,7752.0
17,1891.6666666666515,2018,0,4330.0
18,833.3333333333286,2019,0,3818.0
19,2100.0000000000086,2020,0,-3079.0
20,15800.000000000011,2021,0,-1376.0
21,19099.999999999993,2022,0,3588.0
