,PDelta,Date,0,2
0,,2001,0,
1,,2002,0,-2232.0
2,,2003,0,-2530.0
3,,2004,0,-1484.0
4,,2005,0,-1815.0
5,,2006,0,-1418.0
6,,2007,0,-958.0
7,,2008,0,-814.0
8,,2009,0,-909.0
9,,2010,0,-1160.0
10,,2011,0,-1014.0
11,,2012,0,-1096.0
12,,2013,0,-1582.0
13,,2014,0,-1849.0
14,,2015,0,-1110.0
15,,2016,0,-807.0
16,,2017,0,-578.0
17,,2018,0,-508.0
18,,2019,0,-223.0
19,,2020,0,-212.0
20,,2021,0,-925.0
21,,2022,0,461.0
