,PDelta,Date,0,2
0,,2001,0,
1,1775.0000000000057,2002,0,1272.0
2,3116.6666666666742,2003,0,-281.0
3,3333.3333333333285,2004,0,-2038.0
4,3566.666666666663,2005,0,-2119.0
5,3933.333333333337,2006,0,-1251.0
6,2891.6666666666656,2007,0,-3707.0
7,2916.6666666666715,2008,0,-2867.0
8,1274.9999999999914,2009,0,-1082.0
9,2366.6666666666742,2010,0,-2767.0
10,349.9999999999943,2011,0,-1673.0
11,1183.3333333333371,2012,0,-552.0
12,1616.6666666666742,2013,0,-1619.0
13,1791.6666666666572,2014,0,-1118.0
14,1549.9999999999973,2015,0,-305.0
15,1991.6666666666742,2016,0,2561.0
16,6091.666666666654,2017,0,6423.0
17,5183.333333333338,2018,0,4849.0
18,3325.0000000000173,2019,0,4472.0
19,3516.6666666666515,2020,0,2170.0
20,15325.000000000004,2021,0,-841.0
21,15191.666666666662,2022,0,10184.0
