,PDelta,Date,0,2
0,,2001,0,
1,,2002,0,-1037.0
2,,2003,0,-1205.0
3,,2004,0,-1212.0
4,,2005,0,-1171.0
5,,2006,0,-910.0
6,,2007,0,-643.0
7,,2008,0,-874.0
8,,2009,0,-592.0
9,,2010,0,-641.0
10,,2011,0,-1527.0
11,,2012,0,-1610.0
12,,2013,0,-1073.0
13,,2014,0,-925.0
14,,2015,0,-1029.0
15,,2016,0,24.0
16,49.99999999999716,2017,0,202.0
17,691.6666666666629,2018,0,-573.0
18,1366.6666666666742,2019,0,258.0
19,2383.3333333333258,2020,0,1004.0
20,4483.3333333333485,2021,0,31.0
21,2024.9999999999914,2022,0,523.0
