,PDelta,Date,0,2
0,,2001,0.0,
1,,2001,0.0,-289891.0
2,,2001,0.0,-599604.0
3,,2002,0.0,850571.0
4,,2002,0.0,-293204.0
5,,2002,0.0,-607186.0
6,,2003,0.0,865999.0
7,,2003,0.0,-300638.0
8,,2003,0.0,-615003.0
9,,2004,0.0,870002.0
10,,2004,0.0,-302917.0
11,,2004,0.0,-614474.0
12,,2005,0.0,881016.0
13,,2005,0.0,-308064.0
14,,2005,0.0,-616713.0
15,,2006,0.0,886817.0
16,,2006,0.0,-306943.0
17,,2006,0.0,-620383.0
18,,2007,0.0,894803.0
19,,2007,0.0,-318695.0
20,,2007,0.0,-632488.0
21,,2008,0.0,904952.0
22,,2008,,
23,,2008,,
24,,2009,,
25,,2009,,
26,,2009,,
27,,2010,,
28,,2010,,
29,,2010,,
30,,2011,,
31,,2011,,
32,,2011,,
33,,2012,,
34,,2012,,
35,,2012,,
36,,2013,,
37,,2013,,
38,,2013,,
39,,2014,,
40,,2014,,
41,,2014,,
42,,2015,,
43,,2015,,
44,,2015,,
45,,2016,,
46,,2016,,
47,,2016,,
48,,2017,,
49,,2017,,
50,,2017,,
51,,2018,,
52,,2018,,
53,,2018,,
54,,2019,,
55,,2019,,
56,,2019,,
57,,2020,,
58,,2020,,
59,,2020,,
60,,2021,,
61,,2021,,
62,,2021,,
63,,2022,,
64,,2022,,
65,,2022,,
