,REF_DATE,GEO,Population,IND_VALUE,RATE,NewHomes,PopChange,PriceChange,PriceChangeR,Shortfall,ShortfallP
0,2001,"Winnipeg, Manitoba",695830.0,46.225,4.244576494023904,1542,,,,,
1,2002,"Winnipeg, Manitoba",699855.0,47.44166666666666,2.438778486055777,1585,4025.0,1.2166666666666615,0.26783333333332815,-855.0,-0.12216816340527681
2,2003,"Winnipeg, Manitoba",703975.0,49.18333333333334,2.9329581673306775,1949,4120.0,1.7416666666666742,0.7580000000000074,-222.0,-0.031535210767427824
3,2004,"Winnipeg, Manitoba",709714.0,52.46666666666667,2.2506337301587305,2468,5739.0,3.2833333333333314,2.233999999999998,-803.0,-0.11314416793243476
4,2005,"Winnipeg, Manitoba",712268.0,56.90833333333333,2.638006,2475,2554.0,4.441666666666663,3.303499999999996,2396.0,0.33639023513621275
5,2006,"Winnipeg, Manitoba",716043.0,62.291666666666664,3.9940248,2618,3775.0,5.383333333333333,4.137499999999999,1461.0,0.20403802564929757
6,2007,"Winnipeg, Manitoba",719269.0,69.66666666666667,4.34051952191235,2590,3226.0,7.375000000000007,5.981666666666674,1954.0,0.27166470402589293
7,2008,"Winnipeg, Manitoba",722848.0,76.75833333333334,3.043022310756972,3543,3579.0,7.091666666666669,5.5565000000000015,3507.0,0.48516423923148433
8,2009,"Winnipeg, Manitoba",729444.0,78.70833333333333,0.4240816,2670,6596.0,1.9499999999999886,0.3758333333333219,-1256.0,-0.1721859388794753
9,2010,"Winnipeg, Manitoba",736073.0,82.45833333333333,0.5850836,2388,6629.0,3.75,2.100833333333333,-1853.0,-0.25174133543819704
10,2011,"Winnipeg, Manitoba",745774.0,86.43333333333334,0.9972819277108435,3179,9701.0,3.9750000000000085,2.2463333333333417,-3343.0,-0.44825912407780377
11,2012,"Winnipeg, Manitoba",757053.0,90.075,1.0006468,3258,11279.0,3.6416666666666657,1.8401666666666656,-4763.0,-0.6291501387617512
12,2013,"Winnipeg, Manitoba",766503.0,94.47500000000001,1.0030124,3891,9450.0,4.400000000000006,2.5105000000000057,-1668.0,-0.21761167275274854
13,2014,"Winnipeg, Manitoba",776923.0,96.01666666666667,0.9997448000000001,3464,10420.0,1.5416666666666572,-0.37866666666667625,-3492.0,-0.44946539103617733
14,2015,"Winnipeg, Manitoba",785860.0,97.075,0.6488304,4182,8937.0,1.0583333333333371,-0.8831666666666629,-573.0,-0.07291375054080879
15,2016,"Winnipeg, Manitoba",801177.0,98.88333333333333,0.5007543999999999,4594,15317.0,1.808333333333323,-0.16933333333334355,-6129.0,-0.7649994944937261
16,2017,"Winnipeg, Manitoba",817603.0,101.99166666666667,0.6904273092369478,4337,16426.0,3.1083333333333485,1.0685000000000149,-7752.0,-0.9481374212178771
17,2018,"Winnipeg, Manitoba",831823.0,103.88333333333333,1.3982168,4945,14220.0,1.8916666666666515,-0.18600000000001504,-4330.0,-0.5205434329178202
18,2019,"Winnipeg, Manitoba",844331.0,104.71666666666665,1.746866,4345,12508.0,0.8333333333333286,-1.2610000000000046,-3818.0,-0.4521923274166174
19,2020,"Winnipeg, Manitoba",850558.0,106.81666666666666,0.5413509960159363,4653,6227.0,2.1000000000000085,-0.03633333333332489,3079.0,0.361997653305242
20,2021,"Winnipeg, Manitoba",858848.0,122.61666666666667,0.1864281124497992,4833,8290.0,15.800000000000011,13.347666666666678,1376.0,0.16021461306307985
21,2022,"Winnipeg, Manitoba",871778.0,141.71666666666667,1.8788707818930042,4671,12930.0,19.099999999999994,16.26566666666666,-3588.0,-0.4115726710240451
