,REF_DATE,GEO,Population,IND_VALUE,RATE,NewHomes,PopChange,PriceChange,PriceChangeR,Shortfall,ShortfallP
0,2001,"Québec, Quebec",705206.0,59.38333333333333,4.244576494023904,2471,,,,,
1,2002,"Québec, Quebec",710234.0,61.949999999999996,2.438778486055777,3748,5028.0,2.566666666666663,1.327666666666663,2468.0,0.34749110856421966
2,2003,"Québec, Quebec",714530.0,67.625,2.9329581673306775,5517,4296.0,5.675000000000004,4.322500000000004,6738.0,0.942997494856759
3,2004,"Québec, Quebec",718698.0,71.73333333333333,2.2506337301587305,5259,4168.0,4.108333333333334,2.6736666666666675,6350.0,0.8835421832257778
4,2005,"Québec, Quebec",723340.0,74.83333333333333,2.638006,6149,4642.0,3.0999999999999943,1.6033333333333277,7656.0,1.058423424668897
5,2006,"Québec, Quebec",729611.0,78.76666666666667,3.9940248,5922,6271.0,3.933333333333337,2.358000000000004,5573.0,0.7638316856516691
6,2007,"Québec, Quebec",738487.0,81.84166666666667,4.34051952191235,4442,8876.0,3.075000000000003,1.4381666666666695,8.0,0.0010832959821906142
7,2008,"Québec, Quebec",748407.0,86.175,3.043022310756972,5486,9920.0,4.333333333333329,2.6098333333333286,1052.0,0.14056522720925912
8,2009,"Québec, Quebec",758345.0,92.19166666666666,0.4240816,5120,9938.0,6.016666666666666,4.172833333333332,302.0,0.03982356315397346
9,2010,"Québec, Quebec",768374.0,95.16666666666667,0.5850836,6419,10029.0,2.9750000000000085,1.071666666666675,2809.0,0.3655771798629313
10,2011,"Québec, Quebec",777938.0,96.52499999999999,0.9972819277108435,5667,9564.0,1.35833333333332,-0.5721666666666798,1770.0,0.22752455851237502
11,2012,"Québec, Quebec",783796.0,99.34166666666665,1.0006468,5518,5858.0,2.816666666666663,0.8298333333333296,5178.0,0.6606310825776095
12,2013,"Québec, Quebec",789275.0,100.40833333333335,1.0030124,5465,5479.0,1.0666666666666913,-0.9414999999999756,5451.0,0.6906338095087263
13,2014,"Québec, Quebec",794411.0,100.56666666666666,0.9997448000000001,4451,5136.0,0.15833333333331723,-1.8530000000000162,3766.0,0.4740619150540464
14,2015,"Québec, Quebec",799046.0,100.33333333333333,0.6488304,4354,4635.0,-0.23333333333333428,-2.240000000000001,4073.0,0.5097328564312944
15,2016,"Québec, Quebec",804875.0,99.98333333333333,0.5007543999999999,4915,5829.0,-0.3499999999999943,-2.349666666666661,4001.0,0.49709582233266036
16,2017,"Québec, Quebec",810125.0,100.35000000000001,0.6904273092369478,5017,5250.0,0.36666666666667425,-1.6403333333333259,4784.0,0.5905261533713932
17,2018,"Québec, Quebec",816931.0,100.72500000000001,1.3982168,5709,6806.0,0.375,-1.6395000000000004,4612.0,0.5645519633849125
18,2019,"Québec, Quebec",825234.0,100.74166666666667,1.746866,5750,8303.0,0.01666666666666572,-1.998166666666668,3197.0,0.3874052692933156
19,2020,"Québec, Quebec",832021.0,102.21666666666665,0.5413509960159363,5605,6787.0,1.47499999999998,-0.5693333333333532,4423.0,0.5315971592063181
20,2021,"Québec, Quebec",836615.0,115.04166666666667,0.1864281124497992,7017,4594.0,12.825000000000017,10.524166666666684,9440.0,1.1283565319770743
21,2022,"Québec, Quebec",848776.0,124.59166666666665,1.8788707818930042,8279,12161.0,9.549999999999983,7.05816666666665,4397.0,0.5180400953844123
