,REF_DATE,VALUE,Age group
6210,2001,308611.0,All ages
67620,2002,315181.0,All ages
129030,2003,322922.0,All ages
190440,2004,330515.0,All ages
251850,2005,337654.0,All ages
313260,2006,344313.0,All ages
374670,2007,347901.0,All ages
436080,2008,352767.0,All ages
497490,2009,357274.0,All ages
558900,2010,362506.0,All ages
620310,2011,367052.0,All ages
681720,2012,372288.0,All ages
743130,2013,376783.0,All ages
804540,2014,380948.0,All ages
865950,2015,385258.0,All ages
927360,2016,391942.0,All ages
988770,2017,398742.0,All ages
1050180,2018,405765.0,All ages
1111590,2019,414531.0,All ages
1173000,2020,424757.0,All ages
1234410,2021,434673.0,All ages
1295820,2022,447079.0,All ages
