,REF_DATE,VALUE,Age group
46575,2001,15304.0,All ages
107985,2002,15517.0,All ages
169395,2003,15700.0,All ages
230805,2004,15783.0,All ages
292215,2005,15942.0,All ages
353625,2006,16171.0,All ages
415035,2007,16705.0,All ages
476445,2008,17057.0,All ages
537855,2009,17428.0,All ages
599265,2010,17648.0,All ages
660675,2011,17857.0,All ages
722085,2012,18176.0,All ages
783495,2013,18409.0,All ages
844905,2014,18859.0,All ages
906315,2015,19155.0,All ages
967725,2016,19191.0,All ages
1029135,2017,19082.0,All ages
1090545,2018,19115.0,All ages
1151955,2019,19020.0,All ages
1213365,2020,18851.0,All ages
1274775,2021,18707.0,All ages
1336185,2022,18801.0,All ages
