,REF_DATE,VALUE,Age group
34845,2001,12899.0,All ages
96255,2002,13566.0,All ages
157665,2003,14213.0,All ages
219075,2004,14777.0,All ages
280485,2005,15263.0,All ages
341895,2006,15504.0,All ages
403305,2007,15972.0,All ages
464715,2008,16500.0,All ages
526125,2009,16972.0,All ages
587535,2010,17474.0,All ages
648945,2011,17964.0,All ages
710355,2012,18651.0,All ages
771765,2013,19245.0,All ages
833175,2014,19888.0,All ages
894585,2015,20488.0,All ages
955995,2016,21111.0,All ages
1017405,2017,22054.0,All ages
1078815,2018,22624.0,All ages
1140225,2019,23086.0,All ages
1201635,2020,23723.0,All ages
1263045,2021,24860.0,All ages
1324455,2022,25852.0,All ages
