,REF_DATE,VALUE,Age group
47265,2001,38786.0,All ages
108675,2002,40617.0,All ages
170085,2003,42211.0,All ages
231495,2004,44184.0,All ages
292905,2005,46884.0,All ages
354315,2006,50038.0,All ages
415725,2007,52372.0,All ages
477135,2008,54019.0,All ages
538545,2009,55499.0,All ages
599955,2010,56583.0,All ages
661365,2011,58273.0,All ages
722775,2012,60548.0,All ages
784185,2013,62342.0,All ages
845595,2014,64246.0,All ages
907005,2015,65513.0,All ages
968415,2016,65044.0,All ages
1029825,2017,65298.0,All ages
1091235,2018,67403.0,All ages
1152645,2019,68281.0,All ages
1214055,2020,68605.0,All ages
1275465,2021,67967.0,All ages
1336875,2022,68350.0,All ages
