,REF_DATE,VALUE,Age group
21735,2001,16654.0,All ages
83145,2002,16453.0,All ages
144555,2003,16246.0,All ages
205965,2004,16167.0,All ages
267375,2005,16189.0,All ages
328785,2006,16109.0,All ages
390195,2007,15966.0,All ages
451605,2008,15977.0,All ages
513015,2009,16017.0,All ages
574425,2010,15869.0,All ages
635835,2011,15910.0,All ages
697245,2012,15915.0,All ages
758655,2013,15863.0,All ages
820065,2014,15813.0,All ages
881475,2015,15726.0,All ages
942885,2016,15648.0,All ages
1004295,2017,15518.0,All ages
1065705,2018,15541.0,All ages
1127115,2019,15459.0,All ages
1188525,2020,15414.0,All ages
1249935,2021,15308.0,All ages
1311345,2022,15317.0,All ages
