,REF_DATE,VALUE,Age group
30015,2001,23073.0,All ages
91425,2002,23260.0,All ages
152835,2003,23522.0,All ages
214245,2004,23764.0,All ages
275655,2005,23894.0,All ages
337065,2006,24008.0,All ages
398475,2007,24241.0,All ages
459885,2008,24387.0,All ages
521295,2009,24457.0,All ages
582705,2010,24560.0,All ages
644115,2011,24645.0,All ages
705525,2012,24935.0,All ages
766935,2013,24799.0,All ages
828345,2014,24384.0,All ages
889755,2015,24067.0,All ages
951165,2016,23813.0,All ages
1012575,2017,23897.0,All ages
1073985,2018,23762.0,All ages
1135395,2019,23572.0,All ages
1196805,2020,23403.0,All ages
1258215,2021,23408.0,All ages
1319625,2022,23415.0,All ages
