,REF_DATE,VALUE,Age group
25875,2001,40259.0,All ages
87285,2002,40825.0,All ages
148695,2003,41598.0,All ages
210105,2004,42462.0,All ages
271515,2005,43297.0,All ages
332925,2006,43639.0,All ages
394335,2007,44188.0,All ages
455745,2008,44911.0,All ages
517155,2009,45867.0,All ages
578565,2010,46824.0,All ages
639975,2011,47335.0,All ages
701385,2012,47849.0,All ages
762795,2013,48668.0,All ages
824205,2014,49271.0,All ages
885615,2015,49489.0,All ages
947025,2016,49507.0,All ages
1008435,2017,50100.0,All ages
1069845,2018,50741.0,All ages
1131255,2019,51515.0,All ages
1192665,2020,52283.0,All ages
1254075,2021,53259.0,All ages
1315485,2022,54072.0,All ages
