,REF_DATE,VALUE,Age group
35535,2001,16651.0,All ages
96945,2002,17029.0,All ages
158355,2003,17382.0,All ages
219765,2004,17659.0,All ages
281175,2005,17873.0,All ages
342585,2006,17900.0,All ages
403995,2007,18209.0,All ages
465405,2008,18621.0,All ages
526815,2009,18937.0,All ages
588225,2010,19356.0,All ages
649635,2011,19756.0,All ages
711045,2012,20456.0,All ages
772455,2013,20926.0,All ages
833865,2014,21317.0,All ages
895275,2015,21822.0,All ages
956685,2016,22390.0,All ages
1018095,2017,22668.0,All ages
1079505,2018,23222.0,All ages
1140915,2019,23894.0,All ages
1202325,2020,24547.0,All ages
1263735,2021,25140.0,All ages
1325145,2022,25722.0,All ages
