,REF_DATE,VALUE,Age group
8970,2001,320950.0,All ages
14490,2001,13611.0,All ages
70380,2002,326732.0,All ages
75900,2002,13669.0,All ages
131790,2003,330416.0,All ages
137310,2003,13768.0,All ages
193200,2004,333413.0,All ages
198720,2004,13772.0,All ages
254610,2005,335398.0,All ages
260130,2005,13718.0,All ages
316020,2006,336314.0,All ages
321540,2006,13693.0,All ages
377430,2007,335457.0,All ages
382950,2007,13605.0,All ages
438840,2008,332569.0,All ages
444360,2008,13609.0,All ages
500250,2009,329634.0,All ages
505770,2009,13743.0,All ages
561660,2010,328520.0,All ages
567180,2010,13885.0,All ages
623070,2011,328295.0,All ages
628590,2011,13973.0,All ages
684480,2012,329971.0,All ages
690000,2012,14068.0,All ages
745890,2013,334502.0,All ages
751410,2013,14124.0,All ages
807300,2014,336369.0,All ages
812820,2014,14286.0,All ages
868710,2015,336222.0,All ages
874230,2015,14341.0,All ages
930120,2016,337194.0,All ages
935640,2016,14421.0,All ages
991530,2017,340999.0,All ages
997050,2017,14384.0,All ages
1052940,2018,348304.0,All ages
1058460,2018,14354.0,All ages
1114350,2019,352538.0,All ages
1119870,2019,14282.0,All ages
1175760,2020,353572.0,All ages
1181280,2020,14305.0,All ages
1237170,2021,351213.0,All ages
1242690,2021,14282.0,All ages
1298580,2022,359672.0,All ages
1304100,2022,14411.0,All ages
