,REF_DATE,VALUE,Age group
1035,2001,176468.0,All ages
62445,2002,177626.0,All ages
123855,2003,179026.0,All ages
185265,2004,181059.0,All ages
246675,2005,181720.0,All ages
308085,2006,183847.0,All ages
369495,2007,186173.0,All ages
430905,2008,189575.0,All ages
492315,2009,193867.0,All ages
553725,2010,198553.0,All ages
615135,2011,202376.0,All ages
676545,2012,204537.0,All ages
737955,2013,206257.0,All ages
799365,2014,208228.0,All ages
860775,2015,209191.0,All ages
922185,2016,211003.0,All ages
983595,2017,212144.0,All ages
1045005,2018,212344.0,All ages
1106415,2019,213113.0,All ages
1167825,2020,213919.0,All ages
1229235,2021,214267.0,All ages
1290645,2022,219119.0,All ages
