,REF_DATE,VALUE,Age group
21390,2001,32758.0,All ages
82800,2002,32667.0,All ages
144210,2003,32338.0,All ages
205620,2004,32282.0,All ages
267030,2005,32112.0,All ages
328440,2006,32076.0,All ages
389850,2007,32163.0,All ages
451260,2008,32485.0,All ages
512670,2009,32746.0,All ages
574080,2010,33005.0,All ages
635490,2011,33268.0,All ages
696900,2012,33266.0,All ages
758310,2013,33218.0,All ages
819720,2014,33162.0,All ages
881130,2015,33008.0,All ages
942540,2016,32934.0,All ages
1003950,2017,32911.0,All ages
1065360,2018,32784.0,All ages
1126770,2019,32924.0,All ages
1188180,2020,33016.0,All ages
1249590,2021,33101.0,All ages
1311000,2022,33195.0,All ages
