,REF_DATE,VALUE,Age group
31395,2001,72008.0,All ages
92805,2002,72934.0,All ages
154215,2003,74300.0,All ages
215625,2004,75345.0,All ages
277035,2005,76388.0,All ages
338445,2006,76876.0,All ages
399855,2007,76177.0,All ages
461265,2008,75958.0,All ages
522675,2009,75330.0,All ages
584085,2010,75090.0,All ages
645495,2011,74955.0,All ages
706905,2012,75517.0,All ages
768315,2013,75726.0,All ages
829725,2014,75931.0,All ages
891135,2015,76484.0,All ages
952545,2016,77296.0,All ages
1013955,2017,78492.0,All ages
1075365,2018,79532.0,All ages
1136775,2019,80410.0,All ages
1198185,2020,81354.0,All ages
1259595,2021,82458.0,All ages
1321005,2022,83356.0,All ages
