,REF_DATE,VALUE,Age group
18630,2001,25692.0,All ages
80040,2002,25581.0,All ages
141450,2003,25368.0,All ages
202860,2004,25214.0,All ages
264270,2005,24993.0,All ages
325680,2006,24438.0,All ages
387090,2007,24295.0,All ages
448500,2008,24141.0,All ages
509910,2009,24023.0,All ages
571320,2010,23973.0,All ages
632730,2011,23891.0,All ages
694140,2012,24000.0,All ages
755550,2013,23894.0,All ages
816960,2014,23895.0,All ages
878370,2015,23915.0,All ages
939780,2016,23963.0,All ages
1001190,2017,23996.0,All ages
1062600,2018,23960.0,All ages
1124010,2019,23904.0,All ages
1185420,2020,23854.0,All ages
1246830,2021,23839.0,All ages
1308240,2022,24132.0,All ages
