,REF_DATE,VALUE,Age group
31050,2001,16233.0,All ages
92460,2002,16348.0,All ages
153870,2003,16525.0,All ages
215280,2004,16678.0,All ages
276690,2005,16809.0,All ages
338100,2006,16904.0,All ages
399510,2007,16852.0,All ages
460920,2008,16778.0,All ages
522330,2009,16732.0,All ages
583740,2010,16661.0,All ages
645150,2011,16609.0,All ages
706560,2012,16561.0,All ages
767970,2013,16694.0,All ages
829380,2014,16821.0,All ages
890790,2015,16978.0,All ages
952200,2016,17161.0,All ages
1013610,2017,17494.0,All ages
1075020,2018,17683.0,All ages
1136430,2019,17717.0,All ages
1197840,2020,17736.0,All ages
1259250,2021,17894.0,All ages
1320660,2022,18109.0,All ages
