,REF_DATE,VALUE,Age group
690,2001,21174905.0,All ages
62100,2002,21500787.0,All ages
123510,2003,21753380.0,All ages
184920,2004,22011568.0,All ages
246330,2005,22277962.0,All ages
307740,2006,22584463.0,All ages
369150,2007,22857870.0,All ages
430560,2008,23163156.0,All ages
491970,2009,23502329.0,All ages
553380,2010,23827855.0,All ages
614790,2011,24124407.0,All ages
676200,2012,24454805.0,All ages
737610,2013,24776585.0,All ages
799020,2014,25084157.0,All ages
860430,2015,25315512.0,All ages
921840,2016,25660482.0,All ages
983250,2017,26044843.0,All ages
1044660,2018,26495266.0,All ages
1106070,2019,26963470.0,All ages
1167480,2020,27305747.0,All ages
1228890,2021,27433020.0,All ages
1290300,2022,28006624.0,All ages
