,REF_DATE,VALUE,Age group
4830,2001,273091.0,All ages
66240,2002,276624.0,All ages
127650,2003,281560.0,All ages
189060,2004,286205.0,All ages
250470,2005,290066.0,All ages
311880,2006,293301.0,All ages
373290,2007,298059.0,All ages
434700,2008,303637.0,All ages
496110,2009,309603.0,All ages
557520,2010,315914.0,All ages
618930,2011,321817.0,All ages
680340,2012,324853.0,All ages
741750,2013,327096.0,All ages
803160,2014,329118.0,All ages
864570,2015,330814.0,All ages
925980,2016,334422.0,All ages
987390,2017,337450.0,All ages
1048800,2018,341137.0,All ages
1110210,2019,345748.0,All ages
1171620,2020,349340.0,All ages
1233030,2021,351488.0,All ages
1294440,2022,355203.0,All ages
