,REF_DATE,VALUE,Age group
2415,2001,162956.0,All ages
63825,2002,161506.0,All ages
125235,2003,160394.0,All ages
186645,2004,159504.0,All ages
248055,2005,158483.0,All ages
309465,2006,158043.0,All ages
370875,2007,158111.0,All ages
432285,2008,158707.0,All ages
493695,2009,158938.0,All ages
555105,2010,159636.0,All ages
616515,2011,160290.0,All ages
677925,2012,161168.0,All ages
739335,2013,161452.0,All ages
800745,2014,161387.0,All ages
862155,2015,161381.0,All ages
923565,2016,161450.0,All ages
984975,2017,161694.0,All ages
1046385,2018,162064.0,All ages
1107795,2019,162591.0,All ages
1169205,2020,163335.0,All ages
1230615,2021,163630.0,All ages
1292025,2022,165185.0,All ages
