,REF_DATE,VALUE,Age group
22080,2001,28114.0,All ages
83490,2002,27808.0,All ages
144900,2003,27774.0,All ages
206310,2004,27913.0,All ages
267720,2005,27936.0,All ages
329130,2006,28059.0,All ages
390540,2007,28143.0,All ages
451950,2008,28291.0,All ages
513360,2009,28385.0,All ages
574770,2010,28463.0,All ages
636180,2011,28805.0,All ages
697590,2012,28993.0,All ages
759000,2013,29184.0,All ages
820410,2014,29175.0,All ages
881820,2015,28842.0,All ages
943230,2016,28584.0,All ages
1004640,2017,28325.0,All ages
1066050,2018,28300.0,All ages
1127460,2019,28166.0,All ages
1188870,2020,28231.0,All ages
1250280,2021,28239.0,All ages
1311690,2022,28202.0,All ages
