,REF_DATE,VALUE,Age group
1380,2001,369252.0,All ages
62790,2002,374445.0,All ages
124200,2003,378091.0,All ages
185610,2004,380752.0,All ages
247020,2005,381940.0,All ages
308430,2006,384658.0,All ages
369840,2007,386402.0,All ages
431250,2008,389919.0,All ages
492660,2009,393688.0,All ages
554070,2010,398356.0,All ages
615480,2011,402074.0,All ages
676890,2012,404376.0,All ages
738300,2013,405598.0,All ages
799710,2014,407061.0,All ages
861120,2015,408017.0,All ages
922530,2016,414015.0,All ages
983940,2017,421712.0,All ages
1045350,2018,429893.0,All ages
1106760,2019,439835.0,All ages
1168170,2020,450910.0,All ages
1229580,2021,459869.0,All ages
1290990,2022,480582.0,All ages
