,REF_DATE,VALUE,Age group
345,2001,25121190.0,All ages
61755,2002,25464948.0,All ages
123165,2003,25745344.0,All ages
184575,2004,26035077.0,All ages
245985,2005,26332444.0,All ages
307395,2006,26666157.0,All ages
368805,2007,26972594.0,All ages
430215,2008,27313943.0,All ages
491625,2009,27682785.0,All ages
553035,2010,28039359.0,All ages
614445,2011,28365332.0,All ages
675855,2012,28733706.0,All ages
737265,2013,29086709.0,All ages
798675,2014,29425513.0,All ages
860085,2015,29680350.0,All ages
921495,2016,30059970.0,All ages
982905,2017,30482348.0,All ages
1044315,2018,30979059.0,All ages
1105725,2019,31490790.0,All ages
1167135,2020,31868844.0,All ages
1228545,2021,32029012.0,All ages
1289955,2022,32668295.0,All ages
