,REF_DATE,VALUE,Age group
3450,2001,143386.0,All ages
64860,2002,143127.0,All ages
126270,2003,143480.0,All ages
187680,2004,144012.0,All ages
249090,2005,144645.0,All ages
310500,2006,145685.0,All ages
371910,2007,147126.0,All ages
433320,2008,148502.0,All ages
494730,2009,150112.0,All ages
556140,2010,151903.0,All ages
617550,2011,153200.0,All ages
678960,2012,153902.0,All ages
740370,2013,154391.0,All ages
801780,2014,155188.0,All ages
863190,2015,155679.0,All ages
924600,2016,156813.0,All ages
986010,2017,158181.0,All ages
1047420,2018,159170.0,All ages
1108830,2019,160902.0,All ages
1170240,2020,163374.0,All ages
1231650,2021,165037.0,All ages
1293060,2022,167732.0,All ages
