,REF_DATE,VALUE,Age group
21045,2001,30503.0,All ages
82455,2002,30169.0,All ages
143865,2003,30076.0,All ages
205275,2004,30014.0,All ages
266685,2005,29748.0,All ages
328095,2006,29494.0,All ages
389505,2007,29220.0,All ages
450915,2008,28870.0,All ages
512325,2009,28788.0,All ages
573735,2010,28640.0,All ages
635145,2011,28690.0,All ages
696555,2012,28749.0,All ages
757965,2013,28640.0,All ages
819375,2014,28463.0,All ages
880785,2015,28113.0,All ages
942195,2016,27725.0,All ages
1003605,2017,27542.0,All ages
1065015,2018,27179.0,All ages
1126425,2019,26971.0,All ages
1187835,2020,26800.0,All ages
1249245,2021,26710.0,All ages
1310655,2022,26667.0,All ages
