,REF_DATE,VALUE,Age group
43125,2001,11169.0,All ages
104535,2002,11164.0,All ages
165945,2003,11332.0,All ages
227355,2004,11515.0,All ages
288765,2005,11565.0,All ages
350175,2006,11527.0,All ages
411585,2007,11845.0,All ages
472995,2008,12140.0,All ages
534405,2009,12548.0,All ages
595815,2010,12934.0,All ages
657225,2011,13407.0,All ages
718635,2012,14068.0,All ages
780045,2013,14728.0,All ages
841455,2014,15316.0,All ages
902865,2015,15490.0,All ages
964275,2016,15567.0,All ages
1025685,2017,15659.0,All ages
1087095,2018,15866.0,All ages
1148505,2019,16031.0,All ages
1209915,2020,15970.0,All ages
1271325,2021,16116.0,All ages
1332735,2022,16197.0,All ages
