,REF_DATE,VALUE,Age group
37950,2001,16448.0,All ages
99360,2002,16408.0,All ages
160770,2003,16417.0,All ages
222180,2004,16316.0,All ages
283590,2005,16112.0,All ages
345000,2006,15733.0,All ages
406410,2007,15608.0,All ages
467820,2008,15619.0,All ages
529230,2009,15726.0,All ages
590640,2010,15756.0,All ages
652050,2011,15734.0,All ages
713460,2012,15699.0,All ages
774870,2013,15571.0,All ages
836280,2014,15602.0,All ages
897690,2015,15621.0,All ages
959100,2016,15553.0,All ages
1020510,2017,15855.0,All ages
1081920,2018,15869.0,All ages
1143330,2019,15890.0,All ages
1204740,2020,15870.0,All ages
1266150,2021,15928.0,All ages
1327560,2022,15990.0,All ages
