,REF_DATE,VALUE,Age group
5520,2001,99908.0,All ages
66930,2002,101013.0,All ages
128340,2003,101563.0,All ages
189750,2004,102621.0,All ages
251160,2005,103490.0,All ages
312570,2006,104194.0,All ages
373980,2007,104664.0,All ages
435390,2008,104767.0,All ages
496800,2009,104515.0,All ages
558210,2010,104415.0,All ages
619620,2011,104360.0,All ages
681030,2012,104718.0,All ages
742440,2013,104816.0,All ages
803850,2014,105079.0,All ages
865260,2015,105416.0,All ages
926670,2016,106282.0,All ages
988080,2017,107922.0,All ages
1049490,2018,109626.0,All ages
1110900,2019,111180.0,All ages
1172310,2020,113045.0,All ages
1233720,2021,113875.0,All ages
1295130,2022,116013.0,All ages
