,REF_DATE,VALUE,Age group
37605,2001,82691.0,All ages
99015,2002,82247.0,All ages
160425,2003,82200.0,All ages
221835,2004,82288.0,All ages
283245,2005,82592.0,All ages
344655,2006,82809.0,All ages
406065,2007,82874.0,All ages
467475,2008,82929.0,All ages
528885,2009,82583.0,All ages
590295,2010,82612.0,All ages
651705,2011,82450.0,All ages
713115,2012,82217.0,All ages
774525,2013,82012.0,All ages
835935,2014,81441.0,All ages
897345,2015,81087.0,All ages
958755,2016,80681.0,All ages
1020165,2017,80204.0,All ages
1081575,2018,80081.0,All ages
1142985,2019,80658.0,All ages
1204395,2020,80969.0,All ages
1265805,2021,80324.0,All ages
1327215,2022,81158.0,All ages
