,REF_DATE,VALUE,Age group
43815,2001,22290.0,All ages
105225,2002,22391.0,All ages
166635,2003,22479.0,All ages
228045,2004,22590.0,All ages
289455,2005,22820.0,All ages
350865,2006,23291.0,All ages
412275,2007,23742.0,All ages
473685,2008,24142.0,All ages
535095,2009,24234.0,All ages
596505,2010,24428.0,All ages
657915,2011,24246.0,All ages
719325,2012,24997.0,All ages
780735,2013,25256.0,All ages
842145,2014,25391.0,All ages
903555,2015,25309.0,All ages
964965,2016,25311.0,All ages
1026375,2017,25082.0,All ages
1087785,2018,24880.0,All ages
1149195,2019,25086.0,All ages
1210605,2020,25118.0,All ages
1272015,2021,24734.0,All ages
1333425,2022,24966.0,All ages
