,REF_DATE,VALUE,Age group
47610,2001,43832.0,All ages
109020,2002,46651.0,All ages
170430,2003,49162.0,All ages
231840,2004,51160.0,All ages
293250,2005,52623.0,All ages
354660,2006,55034.0,All ages
416070,2007,58974.0,All ages
477480,2008,61635.0,All ages
538890,2009,64403.0,All ages
600300,2010,67280.0,All ages
661710,2011,70642.0,All ages
723120,2012,74259.0,All ages
784530,2013,78260.0,All ages
845940,2014,80468.0,All ages
907350,2015,79016.0,All ages
968760,2016,75302.0,All ages
1030170,2017,73493.0,All ages
1091580,2018,74408.0,All ages
1152990,2019,75363.0,All ages
1214400,2020,75912.0,All ages
1275810,2021,75667.0,All ages
1337220,2022,76649.0,All ages
