,REF_DATE,VALUE,Age group
44160,2001,12081.0,All ages
105570,2002,13323.0,All ages
166980,2003,14423.0,All ages
228390,2004,15558.0,All ages
289800,2005,16909.0,All ages
351210,2006,17916.0,All ages
412620,2007,19363.0,All ages
474030,2008,20907.0,All ages
535440,2009,22525.0,All ages
596850,2010,24012.0,All ages
658260,2011,25417.0,All ages
719670,2012,26620.0,All ages
781080,2013,27651.0,All ages
842490,2014,28549.0,All ages
903900,2015,29147.0,All ages
965310,2016,29664.0,All ages
1026720,2017,29943.0,All ages
1088130,2018,30136.0,All ages
1149540,2019,30642.0,All ages
1210950,2020,31062.0,All ages
1272360,2021,31270.0,All ages
1333770,2022,31764.0,All ages
