,REF_DATE,VALUE,Age group
32085,2001,11430.0,All ages
93495,2002,11554.0,All ages
154905,2003,11723.0,All ages
216315,2004,11864.0,All ages
277725,2005,12055.0,All ages
339135,2006,12208.0,All ages
400545,2007,12204.0,All ages
461955,2008,12263.0,All ages
523365,2009,12316.0,All ages
584775,2010,12393.0,All ages
646185,2011,12507.0,All ages
707595,2012,12665.0,All ages
769005,2013,12733.0,All ages
830415,2014,12788.0,All ages
891825,2015,12950.0,All ages
953235,2016,13128.0,All ages
1014645,2017,13367.0,All ages
1076055,2018,13694.0,All ages
1137465,2019,13875.0,All ages
1198875,2020,14026.0,All ages
1260285,2021,14261.0,All ages
1321695,2022,14521.0,All ages
