,REF_DATE,VALUE,Age group
52095,2001,26401.0,All ages
113505,2002,26066.0,All ages
174915,2003,26039.0,All ages
236325,2004,26004.0,All ages
297735,2005,26133.0,All ages
359145,2006,25955.0,All ages
420555,2007,25877.0,All ages
481965,2008,25932.0,All ages
543375,2009,25996.0,All ages
604785,2010,26003.0,All ages
666195,2011,25838.0,All ages
727605,2012,25663.0,All ages
789015,2013,25513.0,All ages
850425,2014,25544.0,All ages
911835,2015,25692.0,All ages
973245,2016,26045.0,All ages
1034655,2017,26254.0,All ages
1096065,2018,26532.0,All ages
1157475,2019,26828.0,All ages
1218885,2020,27098.0,All ages
1280295,2021,27425.0,All ages
1341705,2022,27771.0,All ages
