,REF_DATE,VALUE,Age group
23805,2001,42040.0,All ages
85215,2002,42390.0,All ages
146625,2003,42847.0,All ages
208035,2004,42982.0,All ages
269445,2005,43164.0,All ages
330855,2006,43536.0,All ages
392265,2007,44264.0,All ages
453675,2008,44981.0,All ages
515085,2009,45455.0,All ages
576495,2010,46041.0,All ages
637905,2011,46819.0,All ages
699315,2012,47383.0,All ages
760725,2013,47896.0,All ages
822135,2014,48545.0,All ages
883545,2015,48841.0,All ages
944955,2016,49312.0,All ages
1006365,2017,49662.0,All ages
1067775,2018,50172.0,All ages
1129185,2019,50472.0,All ages
1190595,2020,50818.0,All ages
1252005,2021,51137.0,All ages
1313415,2022,51541.0,All ages
