,REF_DATE,VALUE,Age group
25185,2001,54806.0,All ages
86595,2002,54973.0,All ages
148005,2003,55200.0,All ages
209415,2004,55077.0,All ages
270825,2005,55371.0,All ages
332235,2006,55377.0,All ages
393645,2007,55872.0,All ages
455055,2008,56255.0,All ages
516465,2009,56545.0,All ages
577875,2010,57116.0,All ages
639285,2011,57324.0,All ages
700695,2012,58066.0,All ages
762105,2013,58515.0,All ages
823515,2014,59060.0,All ages
884925,2015,59396.0,All ages
946335,2016,59871.0,All ages
1007745,2017,60126.0,All ages
1069155,2018,60293.0,All ages
1130565,2019,60748.0,All ages
1191975,2020,61391.0,All ages
1253385,2021,61801.0,All ages
1314795,2022,62557.0,All ages
