,REF_DATE,VALUE,Age group
44850,2001,7933.0,All ages
106260,2002,8474.0,All ages
167670,2003,8964.0,All ages
229080,2004,9403.0,All ages
290490,2005,9952.0,All ages
351900,2006,10694.0,All ages
413310,2007,11260.0,All ages
474720,2008,11662.0,All ages
536130,2009,12086.0,All ages
597540,2010,12442.0,All ages
658950,2011,12732.0,All ages
720360,2012,13015.0,All ages
781770,2013,13443.0,All ages
843180,2014,13757.0,All ages
904590,2015,13930.0,All ages
966000,2016,14086.0,All ages
1027410,2017,14055.0,All ages
1088820,2018,14123.0,All ages
1150230,2019,14212.0,All ages
1211640,2020,14202.0,All ages
1273050,2021,14162.0,All ages
1334460,2022,14468.0,All ages
