,REF_DATE,VALUE,Age group
2760,2001,705206.0,All ages
64170,2002,710234.0,All ages
125580,2003,714530.0,All ages
186990,2004,718698.0,All ages
248400,2005,723340.0,All ages
309810,2006,729611.0,All ages
371220,2007,738487.0,All ages
432630,2008,748407.0,All ages
494040,2009,758345.0,All ages
555450,2010,768374.0,All ages
616860,2011,777938.0,All ages
678270,2012,783796.0,All ages
739680,2013,789275.0,All ages
801090,2014,794411.0,All ages
862500,2015,799046.0,All ages
923910,2016,804875.0,All ages
985320,2017,810125.0,All ages
1046730,2018,816931.0,All ages
1108140,2019,825234.0,All ages
1169550,2020,832021.0,All ages
1230960,2021,836615.0,All ages
1292370,2022,848776.0,All ages
