,REF_DATE,VALUE,Age group
7590,2001,446937.0,All ages
69000,2002,455446.0,All ages
130410,2003,462451.0,All ages
191820,2004,471321.0,All ages
253230,2005,479252.0,All ages
314640,2006,488325.0,All ages
376050,2007,492486.0,All ages
437460,2008,497508.0,All ages
498870,2009,501631.0,All ages
560280,2010,506907.0,All ages
621690,2011,512547.0,All ages
683100,2012,517359.0,All ages
744510,2013,521494.0,All ages
805920,2014,525299.0,All ages
867330,2015,530170.0,All ages
928740,2016,542034.0,All ages
990150,2017,553526.0,All ages
1051560,2018,567853.0,All ages
1112970,2019,581607.0,All ages
1174380,2020,593397.0,All ages
1235790,2021,599816.0,All ages
1297200,2022,622497.0,All ages
