,REF_DATE,VALUE,Age group
28635,2001,59876.0,All ages
90045,2002,60154.0,All ages
151455,2003,60585.0,All ages
212865,2004,60725.0,All ages
274275,2005,60564.0,All ages
335685,2006,60442.0,All ages
397095,2007,60340.0,All ages
458505,2008,60298.0,All ages
519915,2009,60320.0,All ages
581325,2010,60385.0,All ages
642735,2011,60448.0,All ages
704145,2012,60559.0,All ages
765555,2013,60379.0,All ages
826965,2014,60562.0,All ages
888375,2015,60790.0,All ages
949785,2016,61165.0,All ages
1011195,2017,61443.0,All ages
1072605,2018,61911.0,All ages
1134015,2019,62062.0,All ages
1195425,2020,62239.0,All ages
1256835,2021,62513.0,All ages
1318245,2022,63160.0,All ages
