,REF_DATE,VALUE,Age group
20010,2001,19203.0,All ages
81420,2002,18997.0,All ages
142830,2003,18811.0,All ages
204240,2004,18748.0,All ages
265650,2005,18672.0,All ages
327060,2006,18792.0,All ages
388470,2007,18763.0,All ages
449880,2008,18726.0,All ages
511290,2009,18575.0,All ages
572700,2010,18512.0,All ages
634110,2011,18459.0,All ages
695520,2012,18458.0,All ages
756930,2013,18325.0,All ages
818340,2014,18186.0,All ages
879750,2015,17968.0,All ages
941160,2016,17986.0,All ages
1002570,2017,17923.0,All ages
1063980,2018,17795.0,All ages
1125390,2019,17682.0,All ages
1186800,2020,17678.0,All ages
1248210,2021,17505.0,All ages
1309620,2022,17748.0,All ages
