,REF_DATE,VALUE,Age group
17250,2001,112044.0,All ages
78660,2002,110942.0,All ages
140070,2003,110373.0,All ages
201480,2004,110397.0,All ages
262890,2005,109020.0,All ages
324300,2006,108217.0,All ages
385710,2007,106827.0,All ages
447120,2008,105817.0,All ages
508530,2009,105057.0,All ages
569940,2010,104473.0,All ages
631350,2011,103646.0,All ages
692760,2012,103122.0,All ages
754170,2013,102265.0,All ages
815580,2014,101593.0,All ages
876990,2015,100697.0,All ages
938400,2016,100359.0,All ages
999810,2017,99638.0,All ages
1061220,2018,99553.0,All ages
1122630,2019,100995.0,All ages
1184040,2020,100258.0,All ages
1245450,2021,97924.0,All ages
1306860,2022,98821.0,All ages
