,REF_DATE,VALUE,Age group
3105,2001,183635.0,All ages
64515,2002,185727.0,All ages
125925,2003,188063.0,All ages
187335,2004,189931.0,All ages
248745,2005,191580.0,All ages
310155,2006,193295.0,All ages
371565,2007,194838.0,All ages
432975,2008,196418.0,All ages
494385,2009,198786.0,All ages
555795,2010,201680.0,All ages
617205,2011,204653.0,All ages
678615,2012,206677.0,All ages
740025,2013,208523.0,All ages
801435,2014,209930.0,All ages
862845,2015,210873.0,All ages
924255,2016,213344.0,All ages
985665,2017,215386.0,All ages
1047075,2018,218126.0,All ages
1108485,2019,221325.0,All ages
1169895,2020,224456.0,All ages
1231305,2021,227448.0,All ages
1292715,2022,231055.0,All ages
