,REF_DATE,VALUE,Age group
10005,2001,126696.0,All ages
71415,2002,126776.0,All ages
132825,2003,127369.0,All ages
194235,2004,127619.0,All ages
255645,2005,127570.0,All ages
317055,2006,127090.0,All ages
378465,2007,125977.0,All ages
439875,2008,125440.0,All ages
501285,2009,125043.0,All ages
562695,2010,125157.0,All ages
624105,2011,124926.0,All ages
685515,2012,125031.0,All ages
746925,2013,125099.0,All ages
808335,2014,125097.0,All ages
869745,2015,124719.0,All ages
931155,2016,124840.0,All ages
992565,2017,125535.0,All ages
1053975,2018,126095.0,All ages
1115385,2019,126526.0,All ages
1176795,2020,126502.0,All ages
1238205,2021,125070.0,All ages
1299615,2022,125334.0,All ages
