,REF_DATE,VALUE,Age group
16560,2001,45522.0,All ages
77970,2002,45791.0,All ages
139380,2003,46092.0,All ages
200790,2004,46266.0,All ages
262200,2005,46275.0,All ages
323610,2006,46226.0,All ages
385020,2007,46297.0,All ages
446430,2008,46484.0,All ages
507840,2009,46790.0,All ages
569250,2010,46802.0,All ages
630660,2011,46913.0,All ages
692070,2012,46929.0,All ages
753480,2013,46733.0,All ages
814890,2014,46463.0,All ages
876300,2015,46323.0,All ages
937710,2016,46588.0,All ages
999120,2017,46497.0,All ages
1060530,2018,46629.0,All ages
1121940,2019,46873.0,All ages
1183350,2020,47173.0,All ages
1244760,2021,47412.0,All ages
1306170,2022,48282.0,All ages
